Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Jerry Rice*+,SFO,WR,24,16,15,1,2,16,0,0,10,72,7.20,1,86,1570,18.26,15,2,,16,,,259,344.8,348.8,301.8,158,1,1
2,Dan Marino*+,MIA,QB,25,16,16,378,623,4746,44,23,12,-3,-0.25,0,0,0,,0,8,,0,,,312,311.5,341.5,334.5,153,1,2
3,Eric Dickerson*+,RAM,RB,26,16,16,1,1,15,1,0,404,1821,4.51,11,26,205,7.88,0,12,,11,,,261,287.2,299.2,274.2,126,1,3
4,Joe Morris*+,NYG,RB,26,15,15,0,0,0,0,0,341,1516,4.45,14,21,233,11.10,1,6,,15,,,259,279.9,288.9,269.4,124,2,4
5,Curt Warner*,SEA,RB,25,16,16,0,0,0,0,0,319,1481,4.64,13,41,342,8.34,0,6,,13,,,254,295.3,304.3,274.8,119,3,5
6,Stanley Morgan*,NWE,WR,31,16,16,0,0,0,0,0,0,0,,0,84,1491,17.75,10,0,,10,,,209,293.1,296.1,251.1,108,2,6
7,Todd Christensen*,RAI,TE,30,16,16,0,0,0,0,0,0,0,,0,95,1153,12.14,8,1,,8,,,162,257.3,260.8,209.8,103,1,7
8,Herschel Walker,DAL,RB,24,16,9,0,0,0,0,0,151,737,4.88,12,76,837,11.01,2,5,,14,,,236,312.4,320.9,274.4,102,4,8
9,Mark Duper*,MIA,WR,27,16,16,0,0,0,0,0,1,-10,-10.00,0,67,1313,19.60,11,0,,11,,,196,263.3,266.3,229.8,96,3,9
10,Walter Payton*,CHI,RB,33,16,16,0,4,0,0,1,321,1333,4.15,8,37,382,10.32,3,6,,11,,,230,266.5,276.5,249.0,95,5,10
11,James Brooks*,CIN,RB,28,16,16,0,1,0,0,0,205,1087,5.30,5,54,686,12.70,4,2,,9,,,229,283.3,290.3,256.3,94,6,11
12,George Rogers,WAS,RB,28,15,15,0,0,0,0,0,303,1203,3.97,18,3,24,8.00,0,7,,18,,,224,226.7,233.2,225.2,89,7,12
13,Mark Clayton*,MIA,WR,25,15,14,0,0,0,0,0,2,33,16.50,0,60,1150,19.17,10,1,,10,,,177,237.3,240.8,207.3,77,4,13
14,Boomer Esiason*,CIN,QB,25,16,16,273,469,3959,24,17,44,146,3.32,1,0,0,,0,12,,1,,,229,229.0,258.0,246.0,70,2,14
15,Wesley Walker,NYJ,WR,31,16,8,0,0,0,0,0,0,0,,0,49,1016,20.73,12,3,,12,,,171,219.6,224.1,195.1,70,5,15
16,Gary Clark*,WAS,WR,24,15,15,0,0,0,0,0,0,0,,0,74,1265,17.09,7,1,,7,,,168,241.5,245.0,204.5,67,6,16
17,John Elway*,DEN,QB,26,16,16,280,504,3485,19,13,52,257,4.94,1,1,23,23.00,1,8,,2,,,221,222.4,245.4,234.9,63,3,17
18,Al Toon*+,NYJ,WR,23,16,16,0,0,0,0,0,2,-3,-1.50,0,85,1176,13.84,8,3,,8,,,162,247.3,251.8,204.8,62,7,18
19,Steve Jordan*,MIN,TE,25,16,16,0,0,0,0,0,0,0,,0,58,859,14.81,6,0,,6,,,122,179.9,182.9,150.9,62,2,19
20,Lorenzo Hampton,MIA,RB,24,16,16,0,0,0,0,0,186,830,4.46,9,61,446,7.31,3,4,,12,,,196,256.6,264.6,226.1,61,8,20
21,Mark Bavaro*+,NYG,TE,23,16,15,0,0,0,0,0,0,0,,0,66,1001,15.17,4,3,,4,,,121,187.1,191.6,154.1,61,3,21
22,Gerald Riggs*,ATL,RB,26,16,15,0,1,0,0,0,343,1327,3.87,9,24,136,5.67,0,6,,9,,,194,218.3,227.3,206.3,59,9,22
23,Bill Brooks,IND,WR,22,16,12,0,0,0,0,0,4,5,1.25,0,65,1131,17.40,8,2,,8,,,160,224.6,228.6,192.1,59,9,23
24,Cris Collinsworth,CIN,WR,27,16,15,0,0,0,0,0,2,-16,-8.00,0,62,1024,16.52,10,1,,10,,,160,221.8,225.3,190.8,59,8,24
25,Steve Largent*,SEA,WR,32,16,16,1,1,18,0,0,0,0,,0,70,1070,15.29,9,3,,9,,,159,228.7,233.2,193.7,58,10,25
26,Rueben Mayes*,NOR,RB,23,16,12,0,0,0,0,0,286,1353,4.73,8,17,96,5.65,0,4,,8,,,189,205.9,210.9,197.4,54,10,26
